1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|2020-11-18 00:00:00|yes|NULL|NULL|Beam Width Calibration 1|NULL|Garrett|GaTech|Full|NULL|NULL|EOS Default|NULL|NULL|NULL
76|56.35|-3.25|NULL|130.0|180.0|-3.25|2141.48|2.5|1.5|0.0|0.0|2023-09-29 00:00:00|NULL|NULL|173.04|GTRI XPAT Cold Plate|All layers appeared to be printing cleanly until the last 4 hours of the print. Significant thermal cycling built up residual stress in the structures causing a hot tearing and cracking. These compounding errors due to built up residual stress eventually led to catastrophic layer delamination or failure to fuse in the first place.|Brooks|GTRI|Full|NULL|Z:\EOS_CPU\Builds\B076_GTRI_XPATColdPlate2|Custom|Printing cold plate for cooling eletronics array for GTRI|Powder spread on initial layer was good|Brush
77|10.0|-289.59|NULL|130.0|180.0|-289.59|2186.5|2.5|1.75|0.0|0.0|2023-10-06 00:00:00|NULL|1219276.8|19.0|GTRI XPAT Cold Plate|Fusion of tensile bars to plate was successful when BP temperature was updated to 50C. Some leading edge adhesion issues on front face of parts, but no part failures were noticed. |Brooks|Jamila|Full|NULL|Z:\EOS_CPU\Builds\B077_jamila_tensile_singleTrack|Custom|Testing powder spreadability with ceramic inclusions. This build will be a reprint of tensile bars with correct parameters and has no ceramic inclusions as a baseline. Tensile bars with one set of parameters.|Build plate was sand blasted to fix adhesion issue face in B072. This build has all rectangular parts angled at 5 degrees. One long and short tensile bar were filleted at the leading edge and left perpendicular to the recoater blade.|HSS
78|10.0|-0.38|NULL|130.0|180.0|-0.38|2195.15|2.5|1.75|0.0|0.0|2023-10-12 00:00:00|NULL|1219276.8|19.0|GTRI XPAT Cold Plate|Fusion of tensile bars to plate was successful when BP temperature was updated to 50C. Some leading edge adhesion issues on front face of parts, but no part failures were noticed. Less part scraping was anecdotaly observed.|Brooks|Jamila|Full|NULL|Z:\EOS_CPU\Builds\B078_jamila_tensile_singleTrack_ram0.5|Custom|Testing powder spreadability with ceramic inclusions. This build will be a reprint of tensile bars with correct parameters and has no ceramic inclusions as a baseline. Tensile bars with one set of parameters.|Build plate was sand blasted to fix adhesion issue face in B072. This build has all rectangular parts angled at 5 degrees. One long and short tensile bar were filleted at the leading edge and left perpendicular to the recoater blade.|HSS
79|10.0|57.47|NULL|130.0|180.0|57.47|2203.82|2.5|1.75|0.0|0.0|2023-10-16 00:00:00|NULL|1219276.8|19.0|GTRI XPAT Cold Plate|Fusion of tensile bars to plate was successful when BP temperature was updated to 50C. Some leading edge adhesion issues on front face of parts, but no part failures were noticed. Less part scraping was anecdotaly observed.|Brooks|Jamila|Full|NULL|Z:\EOS_CPU\Builds\B079_jamila_tensile_singleTrack_ram2|Custom|Testing powder spreadability with ceramic inclusions. This build will be a reprint of tensile bars with correct parameters and has no ceramic inclusions as a baseline. Tensile bars with one set of parameters.|Build plate was sand blasted to fix adhesion issue face in B072. This build has all rectangular parts angled at 5 degrees. One long and short tensile bar were filleted at the leading edge and left perpendicular to the recoater blade.|HSS
80|10.0|-60.25|NULL|130.0|180.0|-60.25|2212.5|2.5|1.75|0.0|0.0|2023-10-18 00:00:00|NULL|1219276.8|19.0|GTRI XPAT Cold Plate|NULL|Brooks|Jamila|Full|NULL|Z:\EOS_CPU\Builds\B080_jamila_tensile_singleTrack_ram10|Custom|Testing powder spreadability with ceramic inclusions. This build will be a reprint of tensile bars with correct parameters and has no ceramic inclusions as a baseline. Tensile bars with one set of parameters.|Build plate was sand blasted to fix adhesion issue face in B072. This build has all rectangular parts angled at 5 degrees. One long and short tensile bar were filleted at the leading edge and left perpendicular to the recoater blade.|HSS
82|40.0|-60.25|NULL|130.0|180.0|-60.25|2221.4|2.5|2.5|0.0|0.0|2023-11-13 00:00:00|NULL|NULL|60.0|SHAP3D Spinodal Lattices|Build failed 4.6 mm into build due to recoater hitting base of partial cantilever|Brian, Caroline|Sanders|Full|NULL|Z:\EOS_CPU\Builds\B082_SHAP3DSpinodalLattices|Custom|"Spinodal Lattices for SHAP3D Project A3-2023
Contains:
3 Vertical Lamellar Cubes (1 x VF = 0.3, 1 x VF = 0.5, 1 x VF = 0.7)
3 Horizontal Lamellar Cubes (1 x VF = 0.3, 1 x VF = 0.5, 1 x VF = 0.7)
18 Horizontal Lamellar Cubes (6 x VF = 0.3, 6 x VF = 0.5, 6 x VF = 0.7)
1 Isotropic Partial Cantilever w/o Coating
2 Isotropic Partial Cantilevers w/  Coating"|NULL|Brush
83|40.0|-60.25|NULL|130.0|180.0|-60.25|2229.7|2.5|2.5|0.0|0.0|2023-11-21 00:00:00|NULL|NULL|60.0|SHAP3D Spinodal Lattices|NULL|Brian, Brooks|Sanders|Full|NULL|Z:\EOS_CPU\Builds\B083_SHAP3DSpinodalLattices_V2|Custom|"Spinodal Lattices for SHAP3D Project A3-2023
Contains:
3 Vertical Lamellar Cubes (1 x VF = 0.3, 1 x VF = 0.5, 1 x VF = 0.7)
3 Horizontal Lamellar Cubes (1 x VF = 0.3, 1 x VF = 0.5, 1 x VF = 0.7)
18 Horizontal Lamellar Cubes (6 x VF = 0.3, 6 x VF = 0.5, 6 x VF = 0.7)
1 Isotropic Partial Cantilever w/o Coating"|Build trial number 2, only printing 1 partial cantilever instead of 3|Brush
85|2.0|0.0|NULL|120.0|180.0|25.0|2229.7|3.0|2.5|0.0|0.0|2023-11-29 00:00:00|NULL|NULL|8.0|Trial Layout|Terrible quality balled a lot, parts failed but build completed|Caroline, Brooks|Saldana|Medium|NULL|Z:\EOS_CPU\Builds\B085_CarolineRecoaterDamage|Custom|Test with a non damaged recoater|NULL|Hard
90|2.0|-60.25|NULL|120.0|180.0|-60.25|2229.7|3.0|2.5|0.0|0.0|2023-11-21 00:00:00|NULL|NULL|15.0|Trial Layout|Failed, started short coating at the second layer|Caroline, Brooks|Saldana|Full|NULL|Z:\EOS_CPU\Builds\B090_TestLayout_Config|Custom|Test HSS recoater configuration|NULL|Hard
91|4.5|-60.25|NULL|180.0|200.0|-60.25|2226.7|3.0|2.5|0.0|0.0|2023-11-21 00:00:00|NULL|NULL|15.0|Trial Layout|Loud scraping on first couple layers but then generally went to less loud scraping. Dosing amount fixed short coat issue|Caroline, Brooks|Saldana|Full|NULL|Z:\EOS_CPU\Builds\B090_TestLayout_Config|Custom|Test HSS recoater configuration|NULL|Hard
92|4.5|-60.25|NULL|180.0|200.0|-60.25|2270.0|3.0|2.5|0.0|0.0|2023-12-14 00:00:00|NULL|NULL|15.0|Trial Layout|Loud scraping on first couple layers but then generally went to less loud scraping. Dosing amount fixed short coat issue|Caroline, Brooks|Saldana|Full|NULL|Z:\EOS_CPU\Builds\B090_TestLayout_Config|Custom|Test HSS recoater configuration|NULL|Hard
93|4.0|0.012|NULL|180.0|200.0|0.012|2271.7|NULL|2.5|0.0|0.0|2024-01-10 00:00:00|NULL|NULL|15.0|Template|Loud scraping on first couple layers but then generally went to less loud scraping. Dosing amount fixed short coat issue|Caroline|Caroline|Full|NULL|Z:\EOS_CPU\Builds\B093_OldRecoatDamage|Example Link|Test HSS recoater configuration|NULL|NULL
94|4.5|0.0|NULL|180.0|200.0|0.0|2274.04|3.0|2.5|0.0|0.0|2024-01-17 00:00:00|NULL|NULL|15.0|Heavy Recoat Damage|img 1 is from 1/16 the last image. the third layer had some shearing but it corrected for this|Caroline, Brooks|Saldana|Full|NULL|Z:\EOS_CPU\Builds\B094_heavy_recoat_damage|LANL40|Test heavily damaged previous recoater blade with two major notches @142mm plate cords|NULL|Hard
95|NULL|-72.76|-85.3|180.0|200.0|12.53999999999999|NULL|3.0|2.5|0.0|0.0|2024-02-02 00:00:00|NULL|NULL|11.0|Control GG|Build failure, deleted failing part but only deleted the supports. The supports were up to 3mm and the parts started at the same height. The failure height was 3.640mm|Ken, Brooks|Ken/Stebner|Full|NULL|Z:\EOS_CPU\Builds\B095_Ken_grainGrowth_316l|LANL40|Control for comparison in inoculate grain growth study|1st Training session for Ken.|Hard
96|NULL|NULL|NULL|180.0|200.0|0.0|2280.04|3.0|2.5|0.0|0.0|2024-02-06 00:00:00|NULL|NULL|11.0|Control GG|NULL|Ken, Brooks|Ken/Stebner|Full|NULL|Z:\EOS_CPU\Builds\B096_Ken_grainGrowth_316l|LANL40|Control for comparison in inoculate grain growth study. REDO|NULL|Hard
98|NULL|NULL|NULL|180.0|200.0|NULL|2282.85|300.0|2.5|0.0|0.0|2024-03-25 00:00:00|No|NULL|42.0|Control GG|Failure due to poorly staggered parts|Brooks|AMPF|Full|NULL|"Z:\EOS_CPU\Builds\B098_TestSupports_DHA_Print	
	
	"|LANL40|"DHA Data collection and user familiarization with Supports

"|NULL|NULL
99|NULL|NULL|NULL|180.0|200.0|NULL|2282.85|300.0|2.5|0.0|0.0|2024-03-25 00:00:00|NULL|NULL|42.0|Control GG|NULL|Brooks|AMPF|Full|NULL|NULL|LANL40|"DHA Data collection and user familiarization with Supports

"|NULL|NULL
